Location,Latitude,Longtitude
Abbey Wood,51.487621,0.1140504
Acton (Ealing),51.5081402,-0.2732607
Acton (Hammersmith and Fulham),51.5173451,-0.248137
Addington,51.3586365,-0.0316347
Addiscombe,51.3796916,-0.0742821
Albany Park,51.4361034,0.1259205
Aldborough Hatch,51.60745,-0.365282
Aldgate,51.514117,-0.075566
Aldwych,51.513243,-0.117203
Alperton,51.544396,-0.295483
Anerley,51.4128,-0.063789
Angel,51.582553,-0.335844
Aperfield,51.507351,-0.12766
Archway,51.576581,-0.144692
Ardleigh Green,51.349098,0.091395
Arkley,51.645699,-0.233589
Arnos Grove,51.622489,-0.127246
Balham,51.443338,-0.152947
Bankside,51.507351,-0.12766
Barbican,51.520142,-0.097602
Barking,51.554595,0.179358
Barkingside,51.583795,0.080291
Barnehurst,51.464996,0.160376
Barnes,51.473894,-0.245483
Barnes Cray,51.473894,-0.245483
Barnet Gate,51.507351,-0.12766
"Barnet (also Chipping Barnet, High Barnet)",51.64818,-0.191386
Barnsbury,51.543618,-0.115029
Battersea,51.470197,-0.162487
Bayswater,51.508198,-0.193686
Beckenham,51.407997,-0.024488
Beckton,51.521677,0.072898
Becontree,51.5538,0.142293
Becontree Heath,51.5724,0.193192
Beddington,51.372195,-0.130885
Bedford Park,51.507351,-0.12766
Belgravia,51.495179,-0.152893
Bellingham,51.4344,-0.019287
Belmont (Harrow),51.344299,-0.196884
Belmont (Sutton),51.344299,-0.196884
Belsize Park,51.507351,-0.12766
Belvedere,51.484496,0.152794
Bermondsey,51.488775,-0.077722
Berrylands,51.401097,-0.299687
Bethnal Green,51.532296,-0.064283
"Bexley (also Old Bexley, Bexley Village)",51.440245,0.123941
Bexleyheath (also Bexley New Town),51.463537,0.133786
Bickley,51.405997,0.039095
Biggin Hill,51.321215,0.032726
Blackfen,51.552797,-0.486986
Blackfriars,51.511824,-0.103216
Blackheath,51.468424,-0.011103
Blackheath Royal Standard,51.508635,0.055273
Blackwall,51.515036,0.000584
Blendon,51.507351,-0.12766
Bloomsbury,51.523538,-0.126097
Botany Bay,51.681698,-0.118084
Bounds Green,51.349098,0.091395
Bow,51.528099,-0.019484
Bowes Park,51.607137,-0.120563
Brentford,51.4837,-0.305185
Brent Cross,51.597728,-0.322872
Brent Park,51.573743,-0.230714
Brimsdown,51.654797,-0.029689
Brixton,51.462,-0.107187
Brockley,51.464699,-0.035681
Bromley,51.400176,0.018173
Bromley (also Bromley-by-Bow),51.400176,0.018173
Bromley Common,51.389133,0.037909
Brompton (Kensington and Chelsea),51.500926,-0.161939
Brompton (Hammersmith and Fulham),51.500926,-0.161939
Brondesbury,51.547298,-0.216889
Brunswick Park,51.625995,-0.156388
Bulls Cross,51.581377,0.004042
Burnt Oak,51.612999,-0.262883
"Burroughs, The",51.515597,-0.092005
Camberwell,51.472997,-0.092284
Cambridge Heath,51.515597,-0.092005
Camden Town,51.539254,-0.142617
Canary Wharf,51.4896,-0.018685
Cann Hall,51.507351,-0.12766
Canning Town,51.514997,0.01122
Canonbury,51.548698,-0.092194
Carshalton,51.362996,-0.165586
Castelnau,51.507351,-0.12766
Castle Green,51.511185,-0.103396
Catford,51.445095,-0.00239
Chadwell Heath (Redbridge),51.570899,0.130498
Chadwell Heath (Barking and Dagenham),51.570899,0.130498
Chalk Farm,51.542968,-0.149264
Charing Cross,51.508332,-0.125135
Charlton,51.482797,0.046694
Chase Cross,51.581377,0.004042
Cheam,51.358199,-0.215488
Chelsea,51.487098,-0.179088
Chelsfield,51.358097,0.1296
Chessington,51.3633,-0.293489
Childs Hill,51.563549,-0.196057
Chinatown,51.507351,-0.12766
Chinbrook,51.507351,-0.12766
Chingford,51.630696,0.001797
Chislehurst,51.416698,0.071398
Chiswick (Hounslow),51.480699,-0.259317
Chiswick (Ealing),51.480699,-0.259317
Chiswick (Hammersmith and Fulham),51.480699,-0.259317
Church End (Brent),51.613625,-0.177139
Church End (Barnet),51.613625,-0.177139
Clapham (Lambeth),51.461175,-0.13888
Clapham (Wandsworth),51.461175,-0.13888
Clerkenwell,51.507351,-0.12766
Cockfosters (Barnet),51.655797,-0.150189
Cockfosters (Enfield),51.655797,-0.150189
Colindale,51.591495,-0.246588
Collier Row,51.589498,0.172998
Colliers Wood,51.554461,0.143874
Colney Hatch,51.611998,-0.153585
Colyers,51.507351,-0.12766
Coney Hall,51.615745,0.105031
Coombe (Croydon),51.359807,-0.060025
Coombe (Kingston upon Thames),51.359807,-0.060025
Coulsdon,51.310795,-0.119485
Covent Garden,51.512917,-0.124156
Cowley,51.529595,-0.479682
Cranford,51.481608,-0.401709
Cranham,51.561897,0.268192
Crayford,51.451398,0.180894
Creekmouth,51.515899,0.104294
Crews Hill,51.68453,-0.107106
Cricklewood (Barnet),51.5524,-0.239886
Cricklewood (Brent),51.5524,-0.239886
Cricklewood (Camden),51.5524,-0.239886
Crofton Park,51.454895,-0.034684
Crook Log,51.507351,-0.12766
Crossness,51.507351,-0.12766
Crouch End,51.577695,-0.123482
Croydon,51.365212,-0.085277
Crystal Palace,51.417395,-0.071587
Cubitt Town,51.507351,-0.12766
Cudham,51.317399,0.074398
Custom House,51.50975,0.025925
Dagenham,51.530167,0.156945
Dalston,51.542004,-0.076312
De Beauvoir Town,51.507351,-0.12766
Denmark Hill,51.471527,-0.093012
Deptford,51.475796,-0.029887
Derry Downs,51.548199,-0.059882
Dollis Hill,51.559198,-0.246983
Downe,51.336895,0.056495
Downham,51.507351,-0.12766
Dulwich,51.552797,-0.486986
Ealing,51.514162,-0.306676
Earls Court,51.496497,-0.207484
Earlsfield,51.441199,-0.185583
East Barnet,51.632497,-0.14409
East Bedfont,51.447958,-0.449059
East Dulwich,51.452195,-0.072889
East Finchley,51.5898,-0.162685
East Ham,51.533299,0.057896
East Sheen,51.461697,-0.288386
East Wickham,51.4665,0.111795
Eastcote,51.585496,-0.404188
Eden Park,51.389099,-0.022889
Edgware,51.617098,-0.258787
Edmonton,51.611198,-0.063987
Eel Pie Island,51.507351,-0.12766
Elephant and Castle,51.493906,-0.098869
Elm Park,51.487525,-0.176645
Elmers End,51.392898,-0.040882
Elmstead,51.417181,0.04382
Eltham,51.450697,0.061094
Emerson Park,51.567496,0.223797
Enfield Highway,51.657495,-0.045985
Enfield Lock,51.670797,-0.027587
Enfield Town,51.651299,-0.075387
Enfield Wash,51.669797,-0.040981
Erith,51.480895,0.171596
Falconwood,51.459564,0.081854
Farringdon (Islington),51.520097,-0.103486
Farringdon (City),51.520097,-0.103486
Feltham,51.4461,-0.399382
Finchley,51.618026,-0.1751
Finsbury,51.538795,-0.101285
Finsbury Park (Haringey),51.57067,-0.101626
Finsbury Park (Islington),51.57067,-0.101626
Fitzrovia,51.507351,-0.12766
Foots Cray,51.418895,0.119197
Forest Gate,51.586604,-0.252103
Forest Hill,51.438796,-0.053288
Forestdale,51.507351,-0.12766
Fortis Green,51.588199,-0.160484
Freezywater,51.507351,-0.12766
Friern Barnet,51.614,-0.153486
Frognal,51.550042,-0.183373
